Greedy decoding ON (--greedy): setting bs=1, n_samples=1, temperature=0
Initializing a decoder model: mlx-community/gemma-4-26b-a4b-it-4bit ...
Sanitized code outputs will be saved to /Users/irae/code/choose-a-local-llm/night3/results/gemma26-mlx/humaneval/mlx-community--gemma-4-26b-a4b-it-4bit_openai_temp_0.0.jsonl
Raw outputs will be saved to /Users/irae/code/choose-a-local-llm/night3/results/gemma26-mlx/humaneval/mlx-community--gemma-4-26b-a4b-it-4bit_openai_temp_0.0.raw.jsonl
Codegen: HumanEval/23 @ mlx-community/gemma-4-26b-a4b-it-4bit (resuming from 1)
Codegen: HumanEval/24 @ mlx-community/gemma-4-26b-a4b-it-4bit (resuming from 1)
Codegen: HumanEval/25 @ mlx-community/gemma-4-26b-a4b-it-4bit (resuming from 1)
Codegen: HumanEval/26 @ mlx-community/gemma-4-26b-a4b-it-4bit (resuming from 1)
Codegen: HumanEval/27 @ mlx-community/gemma-4-26b-a4b-it-4bit (resuming from 1)
Codegen: HumanEval/28 @ mlx-community/gemma-4-26b-a4b-it-4bit (resuming from 1)
Codegen: HumanEval/29 @ mlx-community/gemma-4-26b-a4b-it-4bit (resuming from 1)
Codegen: HumanEval/30 @ mlx-community/gemma-4-26b-a4b-it-4bit (resuming from 1)
Codegen: HumanEval/31 @ mlx-community/gemma-4-26b-a4b-it-4bit (resuming from 1)
Codegen: HumanEval/32 @ mlx-community/gemma-4-26b-a4b-it-4bit (resuming from 1)
Codegen: HumanEval/33 @ mlx-community/gemma-4-26b-a4b-it-4bit (resuming from 1)
Codegen: HumanEval/34 @ mlx-community/gemma-4-26b-a4b-it-4bit (resuming from 1)
Codegen: HumanEval/35 @ mlx-community/gemma-4-26b-a4b-it-4bit (resuming from 1)
Codegen: HumanEval/36 @ mlx-community/gemma-4-26b-a4b-it-4bit (resuming from 1)
Codegen: HumanEval/37 @ mlx-community/gemma-4-26b-a4b-it-4bit (resuming from 1)
Codegen: HumanEval/38 @ mlx-community/gemma-4-26b-a4b-it-4bit (resuming from 1)
Codegen: HumanEval/39 @ mlx-community/gemma-4-26b-a4b-it-4bit (resuming from 1)
Codegen: HumanEval/40 @ mlx-community/gemma-4-26b-a4b-it-4bit (resuming from 1)
Codegen: HumanEval/41 @ mlx-community/gemma-4-26b-a4b-it-4bit (resuming from 1)
Codegen: HumanEval/42 @ mlx-community/gemma-4-26b-a4b-it-4bit (resuming from 1)
Codegen: HumanEval/43 @ mlx-community/gemma-4-26b-a4b-it-4bit (resuming from 1)
Codegen: HumanEval/44 @ mlx-community/gemma-4-26b-a4b-it-4bit (resuming from 1)
Codegen: HumanEval/45 @ mlx-community/gemma-4-26b-a4b-it-4bit (resuming from 1)
Codegen: HumanEval/46 @ mlx-community/gemma-4-26b-a4b-it-4bit (resuming from 1)
Codegen: HumanEval/47 @ mlx-community/gemma-4-26b-a4b-it-4bit (resuming from 1)
Codegen: HumanEval/48 @ mlx-community/gemma-4-26b-a4b-it-4bit (resuming from 1)
Codegen: HumanEval/49 @ mlx-community/gemma-4-26b-a4b-it-4bit (resuming from 1)
Codegen: HumanEval/50 @ mlx-community/gemma-4-26b-a4b-it-4bit (resuming from 1)
Codegen: HumanEval/51 @ mlx-community/gemma-4-26b-a4b-it-4bit (resuming from 1)
Codegen: HumanEval/52 @ mlx-community/gemma-4-26b-a4b-it-4bit (resuming from 1)
Codegen: HumanEval/53 @ mlx-community/gemma-4-26b-a4b-it-4bit (resuming from 1)
Codegen: HumanEval/54 @ mlx-community/gemma-4-26b-a4b-it-4bit (resuming from 1)
Codegen: HumanEval/55 @ mlx-community/gemma-4-26b-a4b-it-4bit (resuming from 1)
Codegen: HumanEval/56 @ mlx-community/gemma-4-26b-a4b-it-4bit (resuming from 1)
Codegen: HumanEval/57 @ mlx-community/gemma-4-26b-a4b-it-4bit (resuming from 1)
Codegen: HumanEval/58 @ mlx-community/gemma-4-26b-a4b-it-4bit (resuming from 1)
Codegen: HumanEval/59 @ mlx-community/gemma-4-26b-a4b-it-4bit (resuming from 1)
Codegen: HumanEval/60 @ mlx-community/gemma-4-26b-a4b-it-4bit (resuming from 1)
Codegen: HumanEval/61 @ mlx-community/gemma-4-26b-a4b-it-4bit (resuming from 1)
Codegen: HumanEval/62 @ mlx-community/gemma-4-26b-a4b-it-4bit (resuming from 1)
Codegen: HumanEval/63 @ mlx-community/gemma-4-26b-a4b-it-4bit (resuming from 1)
Codegen: HumanEval/64 @ mlx-community/gemma-4-26b-a4b-it-4bit (resuming from 1)
Codegen: HumanEval/65 @ mlx-community/gemma-4-26b-a4b-it-4bit (resuming from 1)
Codegen: HumanEval/66 @ mlx-community/gemma-4-26b-a4b-it-4bit (resuming from 1)
Codegen: HumanEval/67 @ mlx-community/gemma-4-26b-a4b-it-4bit (resuming from 1)
Codegen: HumanEval/68 @ mlx-community/gemma-4-26b-a4b-it-4bit (resuming from 1)
Codegen: HumanEval/69 @ mlx-community/gemma-4-26b-a4b-it-4bit (resuming from 1)
Codegen: HumanEval/70 @ mlx-community/gemma-4-26b-a4b-it-4bit (resuming from 1)
Codegen: HumanEval/71 @ mlx-community/gemma-4-26b-a4b-it-4bit (resuming from 1)
Codegen: HumanEval/72 @ mlx-community/gemma-4-26b-a4b-it-4bit (resuming from 1)
Codegen: HumanEval/73 @ mlx-community/gemma-4-26b-a4b-it-4bit (resuming from 1)
Codegen: HumanEval/74 @ mlx-community/gemma-4-26b-a4b-it-4bit (resuming from 1)
Codegen: HumanEval/75 @ mlx-community/gemma-4-26b-a4b-it-4bit (resuming from 1)
Codegen: HumanEval/76 @ mlx-community/gemma-4-26b-a4b-it-4bit (resuming from 1)
Codegen: HumanEval/77 @ mlx-community/gemma-4-26b-a4b-it-4bit (resuming from 1)
Codegen: HumanEval/78 @ mlx-community/gemma-4-26b-a4b-it-4bit (resuming from 1)
Codegen: HumanEval/79 @ mlx-community/gemma-4-26b-a4b-it-4bit (resuming from 1)
Codegen: HumanEval/80 @ mlx-community/gemma-4-26b-a4b-it-4bit (resuming from 1)
Codegen: HumanEval/81 @ mlx-community/gemma-4-26b-a4b-it-4bit (resuming from 1)
Codegen: HumanEval/82 @ mlx-community/gemma-4-26b-a4b-it-4bit (resuming from 1)
Codegen: HumanEval/83 @ mlx-community/gemma-4-26b-a4b-it-4bit (resuming from 1)
Codegen: HumanEval/84 @ mlx-community/gemma-4-26b-a4b-it-4bit (resuming from 1)
Codegen: HumanEval/85 @ mlx-community/gemma-4-26b-a4b-it-4bit (resuming from 1)
Codegen: HumanEval/86 @ mlx-community/gemma-4-26b-a4b-it-4bit (resuming from 1)
Codegen: HumanEval/87 @ mlx-community/gemma-4-26b-a4b-it-4bit (resuming from 1)
Codegen: HumanEval/88 @ mlx-community/gemma-4-26b-a4b-it-4bit (resuming from 1)
Codegen: HumanEval/89 @ mlx-community/gemma-4-26b-a4b-it-4bit (resuming from 1)
Codegen: HumanEval/90 @ mlx-community/gemma-4-26b-a4b-it-4bit (resuming from 1)
Codegen: HumanEval/91 @ mlx-community/gemma-4-26b-a4b-it-4bit (resuming from 1)
Codegen: HumanEval/92 @ mlx-community/gemma-4-26b-a4b-it-4bit (resuming from 1)
Codegen: HumanEval/93 @ mlx-community/gemma-4-26b-a4b-it-4bit (resuming from 1)
Codegen: HumanEval/94 @ mlx-community/gemma-4-26b-a4b-it-4bit (resuming from 1)
Codegen: HumanEval/95 @ mlx-community/gemma-4-26b-a4b-it-4bit (resuming from 1)
Codegen: HumanEval/96 @ mlx-community/gemma-4-26b-a4b-it-4bit (resuming from 1)
Codegen: HumanEval/97 @ mlx-community/gemma-4-26b-a4b-it-4bit (resuming from 1)
Codegen: HumanEval/98 @ mlx-community/gemma-4-26b-a4b-it-4bit (resuming from 1)
Codegen: HumanEval/99 @ mlx-community/gemma-4-26b-a4b-it-4bit (resuming from 1)
Codegen: HumanEval/100 @ mlx-community/gemma-4-26b-a4b-it-4bit (resuming from 1)
Codegen: HumanEval/101 @ mlx-community/gemma-4-26b-a4b-it-4bit (resuming from 1)
Codegen: HumanEval/102 @ mlx-community/gemma-4-26b-a4b-it-4bit (resuming from 1)
Codegen: HumanEval/103 @ mlx-community/gemma-4-26b-a4b-it-4bit (resuming from 1)
Codegen: HumanEval/104 @ mlx-community/gemma-4-26b-a4b-it-4bit (resuming from 1)
Codegen: HumanEval/105 @ mlx-community/gemma-4-26b-a4b-it-4bit (resuming from 1)
Codegen: HumanEval/106 @ mlx-community/gemma-4-26b-a4b-it-4bit (resuming from 1)
Codegen: HumanEval/107 @ mlx-community/gemma-4-26b-a4b-it-4bit (resuming from 1)
Codegen: HumanEval/108 @ mlx-community/gemma-4-26b-a4b-it-4bit (resuming from 1)
Codegen: HumanEval/109 @ mlx-community/gemma-4-26b-a4b-it-4bit (resuming from 1)
Codegen: HumanEval/110 @ mlx-community/gemma-4-26b-a4b-it-4bit (resuming from 1)
Codegen: HumanEval/111 @ mlx-community/gemma-4-26b-a4b-it-4bit (resuming from 1)
Codegen: HumanEval/112 @ mlx-community/gemma-4-26b-a4b-it-4bit (resuming from 1)
Codegen: HumanEval/113 @ mlx-community/gemma-4-26b-a4b-it-4bit (resuming from 1)
Codegen: HumanEval/114 @ mlx-community/gemma-4-26b-a4b-it-4bit (resuming from 1)
Codegen: HumanEval/115 @ mlx-community/gemma-4-26b-a4b-it-4bit (resuming from 1)
Codegen: HumanEval/116 @ mlx-community/gemma-4-26b-a4b-it-4bit (resuming from 1)
Codegen: HumanEval/117 @ mlx-community/gemma-4-26b-a4b-it-4bit (resuming from 1)
Codegen: HumanEval/118 @ mlx-community/gemma-4-26b-a4b-it-4bit (resuming from 1)
Codegen: HumanEval/119 @ mlx-community/gemma-4-26b-a4b-it-4bit (resuming from 1)
Codegen: HumanEval/120 @ mlx-community/gemma-4-26b-a4b-it-4bit (resuming from 1)
Codegen: HumanEval/121 @ mlx-community/gemma-4-26b-a4b-it-4bit (resuming from 1)
Codegen: HumanEval/122 @ mlx-community/gemma-4-26b-a4b-it-4bit (resuming from 1)
Codegen: HumanEval/123 @ mlx-community/gemma-4-26b-a4b-it-4bit (resuming from 1)
Codegen: HumanEval/124 @ mlx-community/gemma-4-26b-a4b-it-4bit (resuming from 1)
Codegen: HumanEval/125 @ mlx-community/gemma-4-26b-a4b-it-4bit (resuming from 1)
Codegen: HumanEval/126 @ mlx-community/gemma-4-26b-a4b-it-4bit (resuming from 1)
Codegen: HumanEval/127 @ mlx-community/gemma-4-26b-a4b-it-4bit (resuming from 1)
Codegen: HumanEval/128 @ mlx-community/gemma-4-26b-a4b-it-4bit (resuming from 1)
Codegen: HumanEval/129 @ mlx-community/gemma-4-26b-a4b-it-4bit (resuming from 1)
Codegen: HumanEval/130 @ mlx-community/gemma-4-26b-a4b-it-4bit
